STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00080236,"ARCHBOLD BIO STATION, FL US",01/01/2004,0,81,52
USC00080236,"ARCHBOLD BIO STATION, FL US",02/01/2004,0,80,57
USC00080236,"ARCHBOLD BIO STATION, FL US",03/01/2004,0,81,55
USC00080236,"ARCHBOLD BIO STATION, FL US",04/01/2004,0,82,56
USC00080236,"ARCHBOLD BIO STATION, FL US",05/01/2004,0,82,47
USC00080236,"ARCHBOLD BIO STATION, FL US",06/01/2004,0,83,49
USC00080236,"ARCHBOLD BIO STATION, FL US",07/01/2004,0,84,49
USC00080236,"ARCHBOLD BIO STATION, FL US",08/01/2004,0,65,44
USC00080236,"ARCHBOLD BIO STATION, FL US",09/01/2004,0,74,42
USC00080236,"ARCHBOLD BIO STATION, FL US",10/01/2004,0,78,50
USC00080236,"ARCHBOLD BIO STATION, FL US",11/01/2004,0,57,38
USC00080236,"ARCHBOLD BIO STATION, FL US",12/01/2004,0,68,44
USC00080236,"ARCHBOLD BIO STATION, FL US",13/01/2004,0,74,37
USC00080236,"ARCHBOLD BIO STATION, FL US",14/01/2004,0,74,30
USC00080236,"ARCHBOLD BIO STATION, FL US",15/01/2004,0,71,35
USC00080236,"ARCHBOLD BIO STATION, FL US",16/01/2004,0,74,39
USC00080236,"ARCHBOLD BIO STATION, FL US",17/01/2004,0,72,40
USC00080236,"ARCHBOLD BIO STATION, FL US",18/01/2004,0.01,77,50
USC00080236,"ARCHBOLD BIO STATION, FL US",19/01/2004,1.11,71,60
USC00080236,"ARCHBOLD BIO STATION, FL US",20/01/2004,0,80,51
USC00080236,"ARCHBOLD BIO STATION, FL US",21/01/2004,0,65,34
USC00080236,"ARCHBOLD BIO STATION, FL US",22/01/2004,0,74,40
USC00080236,"ARCHBOLD BIO STATION, FL US",23/01/2004,0,73,31
USC00080236,"ARCHBOLD BIO STATION, FL US",24/01/2004,0,68,25
USC00080236,"ARCHBOLD BIO STATION, FL US",25/01/2004,0,72,33
USC00080236,"ARCHBOLD BIO STATION, FL US",26/01/2004,0,79,49
USC00080236,"ARCHBOLD BIO STATION, FL US",27/01/2004,0,83,61
USC00080236,"ARCHBOLD BIO STATION, FL US",28/01/2004,0.02,80,34
USC00080236,"ARCHBOLD BIO STATION, FL US",29/01/2004,0,65,28
USC00080236,"ARCHBOLD BIO STATION, FL US",30/01/2004,0,70,45
USC00080236,"ARCHBOLD BIO STATION, FL US",31/01/2004,0.27,67,51
USC00080236,"ARCHBOLD BIO STATION, FL US",01/02/2004,0.55,65,54
USC00080236,"ARCHBOLD BIO STATION, FL US",02/02/2004,0.01,82,51
USC00080236,"ARCHBOLD BIO STATION, FL US",03/02/2004,0,76,42
USC00080236,"ARCHBOLD BIO STATION, FL US",04/02/2004,0,78,50
USC00080236,"ARCHBOLD BIO STATION, FL US",05/02/2004,0,82,59
USC00080236,"ARCHBOLD BIO STATION, FL US",06/02/2004,0,82,64
USC00080236,"ARCHBOLD BIO STATION, FL US",07/02/2004,0.01,86,63
USC00080236,"ARCHBOLD BIO STATION, FL US",08/02/2004,0,73,37
USC00080236,"ARCHBOLD BIO STATION, FL US",09/02/2004,0,62,38
USC00080236,"ARCHBOLD BIO STATION, FL US",10/02/2004,0,78,46
USC00080236,"ARCHBOLD BIO STATION, FL US",11/02/2004,0,83,56
USC00080236,"ARCHBOLD BIO STATION, FL US",12/02/2004,0,85,55
USC00080236,"ARCHBOLD BIO STATION, FL US",13/02/2004,0,86,58
USC00080236,"ARCHBOLD BIO STATION, FL US",14/02/2004,0,75,62
USC00080236,"ARCHBOLD BIO STATION, FL US",15/02/2004,0.55,85,64
USC00080236,"ARCHBOLD BIO STATION, FL US",16/02/2004,0,78,44
USC00080236,"ARCHBOLD BIO STATION, FL US",17/02/2004,0,68,53
USC00080236,"ARCHBOLD BIO STATION, FL US",18/02/2004,0,64,40
USC00080236,"ARCHBOLD BIO STATION, FL US",19/02/2004,0,65,26
USC00080236,"ARCHBOLD BIO STATION, FL US",20/02/2004,0,73,39
USC00080236,"ARCHBOLD BIO STATION, FL US",21/02/2004,0,76,42
USC00080236,"ARCHBOLD BIO STATION, FL US",22/02/2004,0,82,45
USC00080236,"ARCHBOLD BIO STATION, FL US",23/02/2004,0,83,49
USC00080236,"ARCHBOLD BIO STATION, FL US",24/02/2004,0,84,60
USC00080236,"ARCHBOLD BIO STATION, FL US",25/02/2004,1.9,86,61
USC00080236,"ARCHBOLD BIO STATION, FL US",26/02/2004,1.97,66,60
USC00080236,"ARCHBOLD BIO STATION, FL US",27/02/2004,0.01,80,52
USC00080236,"ARCHBOLD BIO STATION, FL US",28/02/2004,0,61,42
USC00080236,"ARCHBOLD BIO STATION, FL US",29/02/2004,0,71,47
USC00080236,"ARCHBOLD BIO STATION, FL US",01/03/2004,0,76,51
USC00080236,"ARCHBOLD BIO STATION, FL US",02/03/2004,0,78,49
USC00080236,"ARCHBOLD BIO STATION, FL US",03/03/2004,0,82,57
USC00080236,"ARCHBOLD BIO STATION, FL US",04/03/2004,0,82,56
USC00080236,"ARCHBOLD BIO STATION, FL US",05/03/2004,0,83,65
USC00080236,"ARCHBOLD BIO STATION, FL US",06/03/2004,0,85,61
USC00080236,"ARCHBOLD BIO STATION, FL US",07/03/2004,0,88,59
