STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WDFG,WDFM,WESD,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT19
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,01/01/2004,,0.89,1603,1602,0,,,,52,63,41,,,270,270,,,,6.9,8.9,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,02/01/2004,,2.46,1320,1138,0.44,,,,52,53,50,,,110,110,,,,8.9,14.1,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,03/01/2004,,4.92,1249,1535,0,,,,50,58,42,,,300,310,,,,15,23,,,1,,,,,,,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,04/01/2004,,1.34,1434,1434,0,,,,50,61,38,,,270,260,,,,8.9,12.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,05/01/2004,,0.67,938,1306,0,,,,54,66,42,,,30,40,,,,6.9,8.9,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,06/01/2004,,1.57,1107,948,0,,,,57,65,48,,,50,350,,,,6.9,8.9,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,07/01/2004,,1.12,1457,1456,0,,,,58,68,48,,,270,260,,,,8.1,12.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,08/01/2004,,1.34,1516,1342,0,,,,59,73,44,,0,260,260,,,,8.1,13,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,09/01/2004,,1.57,1223,1225,0,,,,59,69,49,,0,260,260,,,,8.1,10.1,,,,,,,,,1,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,10/01/2004,,2.01,1625,1624,0,,,,64,80,47,,0,270,270,,,,6.9,8.9,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,11/01/2004,,1.79,1508,1415,0,,,,64,77,51,,0,260,220,,,,6,8.9,,,1,,,,,,,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,12/01/2004,,1.34,1327,1302,0,,,,58,65,51,,0,270,230,,,,8.1,12.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,13/01/2004,,1.34,1539,1349,0,,,,63,79,47,,0,260,270,,,,6.9,8.9,,,1,,,,,,,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,14/01/2004,,1.57,1544,1536,0,,,,66,79,53,,0,260,250,,,,8.1,13,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,15/01/2004,,0.45,1422,1410,0,,,,62,71,52,,0,280,250,,,,8.9,14.1,,,1,,,,,,,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,16/01/2004,,1.34,1521,1317,0,,,,59,65,53,,0,270,230,,,,8.1,12.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,17/01/2004,,1.12,1438,1437,0,,,,59,66,52,,0,260,270,,,,8.9,13,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,18/01/2004,,1.57,1552,1551,0,,,,57,62,51,,0,260,260,,,,8.1,12.1,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,19/01/2004,,1.57,1532,1531,0,,,,57,63,50,,0,260,260,,,,8.9,13,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,20/01/2004,,0.67,1634,1526,0,,,,56,61,50,,0,270,270,,,,6,8.9,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,21/01/2004,,1.57,1925,1923,0.02,,,,59,68,50,,0,30,30,,,,10.1,15,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,22/01/2004,,1.79,1024,1034,0,,,,61,74,47,,0,340,350,,,,12.1,16.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,23/01/2004,,1.57,1613,1331,0,,,,58,70,45,,0,270,260,,,,8.1,13,,,1,,,,,,,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,24/01/2004,,0.89,1316,1024,0,,,,53,58,48,,0,260,170,,,,6.9,10.1,,,,,,,,,1,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,25/01/2004,,1.34,1606,1613,0,,,,55,62,48,,0,260,270,,,,8.9,13,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,26/01/2004,,1.12,1633,1621,0,,,,55,64,45,,0,270,270,,,,8.1,13,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,27/01/2004,,1.57,1538,1344,0,,,,55,63,47,,0,270,260,,,,8.9,14.1,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,28/01/2004,,1.34,1235,1220,0.01,,,,57,63,51,,0,260,270,,,,8.1,13,,,1,,,,,,1,,1,,1,,
