STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/01/2004,1.84,,54,44
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/01/2004,0.44,,53,43
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",03/01/2004,0,,53,39
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",04/01/2004,0,,54,39
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",05/01/2004,0,,56,41
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",06/01/2004,0.11,,52,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",07/01/2004,0,,58,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",08/01/2004,0,,66,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",09/01/2004,0.4,,59,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/01/2004,0,,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/01/2004,0,,65,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/01/2004,0,,58,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",13/01/2004,0,,58,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",14/01/2004,0.04,,52,44
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",15/01/2004,0,,56,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",16/01/2004,0,,54,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",17/01/2004,0,,56,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",18/01/2004,0,,57,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",19/01/2004,0,,54,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",20/01/2004,0,,59,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",21/01/2004,0,,64,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",22/01/2004,0,,60,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",23/01/2004,0.03,,58,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",24/01/2004,0.17,,55,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",25/01/2004,0,,57,43
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",26/01/2004,0,,55,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",27/01/2004,0.25,,58,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",28/01/2004,0,,58,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",29/01/2004,0,,54,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",30/01/2004,0.12,,56,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",31/01/2004,0,,56,44
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/02/2004,0.1,,51,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/02/2004,1.1,,55,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",03/02/2004,0.3,,54,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",04/02/2004,0,,59,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",05/02/2004,0,,64,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",06/02/2004,0.07,,59,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",07/02/2004,0,,58,46
